seed,family,noise,method,length_scale,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
3,waviness,0.008,two_sided_straddle,0.1,0.011492248389549644,0.008936102001313293,0.9312,0.7142857142857143,14,35,8,568,0.0784,0.2857142857142857,0.6363636363636364,0.013888888888888888,0.6359126984126984
3,waviness,0.008,evidence_gated,0.1,0.012751265458051525,0.009841219459532088,0.9376,0.5510204081632653,22,27,12,564,0.0784,0.4489795918367347,0.6470588235294118,0.020833333333333332,0.7140731292517006
3,local_defect,0.003,uncertainty_only,0.1,0.0036745196661959905,0.0028368918375397197,0.9936,0.09090909090909091,20,2,2,601,0.0352,0.9090909090909091,0.9090909090909091,0.003316749585406302,0.9528870797527513
3,local_defect,0.003,two_sided_straddle,0.1,0.0028750301732786325,0.002352058291858723,0.9952,0.09090909090909091,20,2,1,602,0.0352,0.9090909090909091,0.9523809523809523,0.001658374792703151,0.953716267149103
3,local_defect,0.003,evidence_gated,0.1,0.003700919771683646,0.002679802320257014,0.9968,0.09090909090909091,20,2,0,603,0.0352,0.9090909090909091,1.0,0.0,0.9545454545454546
3,local_defect,0.008,uncertainty_only,0.1,0.006527965368910852,0.005147266456226513,0.9904,0.18181818181818182,18,4,2,601,0.0352,0.8181818181818182,0.9,0.003316749585406302,0.9074325342982059
3,local_defect,0.008,two_sided_straddle,0.1,0.006544358578834455,0.005175235168019907,0.9856,0.22727272727272727,17,5,4,599,0.0352,0.7727272727272727,0.8095238095238095,0.006633499170812604,0.8830468867782301
3,local_defect,0.008,evidence_gated,0.1,0.006515597430355509,0.005249048616901063,0.992,0.09090909090909091,20,2,3,600,0.0352,0.9090909090909091,0.8695652173913043,0.004975124378109453,0.9520578923563998
3,mixed,0.003,uncertainty_only,0.1,0.004576558063801118,0.003332369529436185,0.9712,0.3469387755102041,32,17,1,575,0.0784,0.6530612244897959,0.9696969696969697,0.001736111111111111,0.8256625566893423
3,mixed,0.003,two_sided_straddle,0.1,0.004607015136367598,0.003462226314532027,0.984,0.12244897959183673,43,6,4,572,0.0784,0.8775510204081632,0.9148936170212766,0.006944444444444444,0.9353032879818595
3,mixed,0.003,evidence_gated,0.1,0.007190441773369919,0.004769128796172501,0.9824,0.16326530612244897,41,8,3,573,0.0784,0.8367346938775511,0.9318181818181818,0.005208333333333333,0.9157631802721089
3,mixed,0.008,uncertainty_only,0.1,0.008860617233815756,0.0069128267214820785,0.9504,0.2857142857142857,35,14,17,559,0.0784,0.7142857142857143,0.6730769230769231,0.029513888888888888,0.8423859126984128
3,mixed,0.008,two_sided_straddle,0.1,0.007741910779921051,0.006414342877585177,0.9488,0.1836734693877551,40,9,23,553,0.0784,0.8163265306122449,0.6349206349206349,0.03993055555555555,0.8881979875283447
3,mixed,0.008,evidence_gated,0.1,0.008496408407017361,0.006265690410221315,0.9552,0.32653061224489793,33,16,12,564,0.0784,0.673469387755102,0.7333333333333333,0.020833333333333332,0.8263180272108843
4,smooth,0.003,uncertainty_only,0.1,0.002435475706711772,0.0019884559999837235,0.9936,0.18181818181818182,18,4,0,603,0.0352,0.8181818181818182,1.0,0.0,0.9090909090909092
4,smooth,0.003,two_sided_straddle,0.1,0.0027971310702073686,0.0022155586545246774,0.9888,0.22727272727272727,17,5,2,601,0.0352,0.7727272727272727,0.8947368421052632,0.003316749585406302,0.8847052615709332
4,smooth,0.003,evidence_gated,0.1,0.0029321536644160264,0.0023193875780977676,0.9952,0.045454545454545456,21,1,2,601,0.0352,0.9545454545454546,0.9130434782608695,0.003316749585406302,0.9756143524800241
